batch_id,product_name,mfg_date,exp_date,qty_on_hand,mrp_unit_price,unit_cost
BATCH_00033,NeuroVita_248,2023-03-13,2025-01-07,202,43383.85,30380.76
BATCH_00034,GlucoBalance_402,2023-05-24,2025-07-02,96,56122.91,31339.97
BATCH_00035,DermaLux_640,2023-03-06,2025-11-23,988,55436.73,42607.76
BATCH_00036,OrthoRelief_192,2023-12-14,2024-12-10,208,19555.69,14634.94
BATCH_00037,NeuroVita_600,2022-11-10,2024-11-02,27,61037.16,46350.82
BATCH_00038,DermaLux_633,2023-11-03,2026-01-12,245,72524.38,41297.42
BATCH_00039,NeuroVita_356,2022-12-10,2025-02-08,1018,26133.24,19117.5
BATCH_00040,ImmunoPlus_847,2024-06-29,2025-10-30,25,40172.19,26008.5
BATCH_00041,GlucoBalance_810,2022-12-08,2024-11-03,60,3023.52,2519.54
BATCH_00042,HepatoCare_122,2022-01-15,2023-03-29,800,37599.05,23294.78
BATCH_00043,HepatoCare_948,2024-03-10,2026-04-20,1063,51346.92,36313.51
BATCH_00044,OrthoRelief_487,2024-06-23,2026-09-21,41,5049.21,3254.64
BATCH_00045,DermaLux_761,2024-03-27,2027-01-28,135,4897.43,3878.67
BATCH_00046,NeuroVita_283,2022-04-16,2024-05-29,904,5805.6,3464.53
BATCH_00047,CardioMax_728,2023-08-15,2026-02-11,715,64427.93,37006.58
BATCH_00048,CardioMax_802,2024-06-29,2026-07-20,122,55108.19,43132.82
BATCH_00049,RespiraAid_184,2024-01-21,2024-11-07,359,65811.26,41916.73
BATCH_00050,NeuroVita_404,2023-05-03,2025-02-01,168,9244.93,7309.8
BATCH_00051,RenalGuard_621,2022-11-23,2024-12-08,477,39075.53,22482.43
BATCH_00052,ImmunoPlus_765,2022-11-10,2024-04-19,922,25462.13,21069.5
BATCH_00053,OncoThera_815,2023-01-01,2024-05-12,738,54184.54,34227.62
BATCH_00054,NeuroVita_708,2023-11-30,2026-04-12,231,32152.48,24585.16
BATCH_00055,OncoThera_205,2024-03-13,2026-12-24,191,29342.42,25083.93
BATCH_00056,HepatoCare_45,2024-02-23,2027-01-11,762,12232.01,7950.93
BATCH_00057,RespiraAid_755,2023-07-04,2025-06-28,38,7979.13,5823.05
BATCH_00058,OncoThera_103,2023-06-13,2025-01-09,372,39356.36,33473.17
BATCH_00059,RenalGuard_607,2023-06-21,2024-03-17,122,59872.1,32696.4
BATCH_00060,GlucoBalance_323,2024-03-03,2025-01-09,375,13313.35,10241.53
BATCH_00061,NeuroVita_420,2024-05-18,2025-03-14,225,34442.98,26291.83
BATCH_00062,OrthoRelief_442,2024-07-09,2026-01-02,173,29076.03,17114.82
BATCH_00063,GlucoBalance_635,2022-02-18,2022-09-08,199,36386.13,21893.1
BATCH_00064,RenalGuard_761,2024-09-22,2025-08-29,412,21607.26,16132.85
BATCH_00065,OrthoRelief_381,2024-08-31,2027-08-29,231,22064.48,13098.34
BATCH_00066,GlucoBalance_753,2022-04-16,2024-01-16,219,35413.54,26652.96
BATCH_00067,OrthoRelief_473,2023-05-31,2024-06-17,177,29269.82,17461.52
BATCH_00068,RespiraAid_52,2022-08-14,2023-12-13,187,13939.24,7907.79
BATCH_00069,ImmunoPlus_577,2023-05-10,2024-10-26,77,15658.98,10735.9
BATCH_00070,RenalGuard_925,2024-07-25,2027-06-11,1054,46420.46,32033.74
BATCH_00071,ImmunoPlus_715,2023-05-21,2025-05-20,129,33909.65,29219.04
BATCH_00072,CardioMax_600,2022-07-27,2023-04-22,181,42378.41,26287.41
BATCH_00073,ImmunoPlus_615,2022-05-19,2024-03-20,92,40704.96,30887.06
BATCH_00074,OrthoRelief_944,2024-03-16,2026-01-03,249,59114.22,43887.4
BATCH_00075,OncoThera_882,2022-05-27,2023-12-24,83,34126.98,22833.77
BATCH_00076,HepatoCare_165,2024-09-21,2027-08-29,141,23229.12,13519.52
BATCH_00077,GlucoBalance_418,2022-08-24,2023-09-26,60,40506.24,24266.2
BATCH_00078,CardioMax_983,2024-01-26,2024-10-25,134,70684.6,39088.63
BATCH_00079,DermaLux_183,2024-02-06,2025-01-12,88,28441.1,22813.98
BATCH_00080,NeuroVita_600,2023-07-15,2024-07-31,237,43493.36,24108.19
BATCH_00081,CardioMax_263,2022-07-08,2023-04-04,1028,74514.48,42118.93
BATCH_00082,NeuroVita_268,2023-02-25,2026-01-16,68,23786.15,20027.6
BATCH_00083,CardioMax_424,2023-10-15,2025-08-20,740,71299.67,39499.24
BATCH_00084,GlucoBalance_984,2023-06-26,2026-03-03,101,48639.59,38080.92
BATCH_00085,CardioMax_660,2024-06-19,2025-06-06,1119,71730.52,46226.86
BATCH_00086,DermaLux_526,2023-10-29,2026-09-16,138,47900.94,26755.99
BATCH_00087,OrthoRelief_839,2024-03-23,2026-06-23,64,69346.67,43967.88
BATCH_00088,DermaLux_155,2022-02-11,2024-11-25,24,36302.61,31033.62
BATCH_00089,OrthoRelief_834,2024-06-08,2026-06-10,110,8197.29,6244.35
BATCH_00090,HepatoCare_417,2023-10-25,2026-04-09,225,72861.08,45540.4
BATCH_00091,GlucoBalance_370,2023-09-24,2025-09-06,1112,6578.46,4866.09
BATCH_00092,RespiraAid_716,2022-01-02,2024-12-08,572,40546.31,24021.78
BATCH_00093,OncoThera_321,2024-03-30,2026-07-27,20,42825.09,27572.82
BATCH_00094,RespiraAid_620,2022-10-09,2024-07-17,312,41200.39,28550.34
BATCH_00095,OncoThera_454,2022-07-11,2024-12-18,115,12555.88,10676.75
BATCH_00096,ImmunoPlus_261,2022-05-30,2025-03-06,1104,89792.78,48855.32
BATCH_00097,OrthoRelief_630,2024-01-17,2025-10-30,32,2832.53,1532.28
BATCH_00098,CardioMax_491,2022-12-21,2023-08-31,224,21905.84,16730.78
BATCH_00099,OrthoRelief_621,2022-09-27,2023-04-20,998,82825.83,45660.18
BATCH_00100,HepatoCare_817,2022-12-08,2023-11-07,184,20403.69,12689.02
BATCH_00101,GlucoBalance_989,2024-07-01,2025-02-23,109,35644.64,24251.75
BATCH_00102,DermaLux_761,2022-10-18,2025-10-13,45,24173.2,19556.8
BATCH_00103,ImmunoPlus_150,2022-06-13,2023-06-20,67,62873.94,36940.33
BATCH_00104,NeuroVita_804,2024-09-08,2026-06-16,171,57582.21,33111.87
BATCH_00105,HepatoCare_367,2023-12-27,2024-08-09,211,86700.04,49551.84
BATCH_00106,HepatoCare_541,2024-04-23,2024-12-21,985,65818.25,36627.9
BATCH_00107,OrthoRelief_673,2023-07-23,2024-07-13,151,74759.66,45318.54
BATCH_00108,ImmunoPlus_94,2024-07-22,2025-01-30,606,4283.53,3277.49
BATCH_00109,NeuroVita_279,2024-09-01,2026-02-01,718,25461.44,17821.46
BATCH_00110,RenalGuard_688,2024-07-17,2027-05-11,26,55774.56,31619.14
BATCH_00111,OncoThera_84,2022-02-25,2023-12-27,548,44945.17,26420.73
BATCH_00112,HepatoCare_602,2023-11-14,2024-10-19,160,57622.27,41672.5
BATCH_00113,ImmunoPlus_285,2022-03-15,2023-03-22,907,6176.4,4529.82
BATCH_00114,OrthoRelief_741,2023-02-27,2024-12-14,34,26129.1,16869.57
BATCH_00115,ImmunoPlus_492,2023-12-26,2025-11-10,398,14765.9,10416.94
BATCH_00116,GlucoBalance_115,2022-02-18,2023-10-16,151,31697.16,18643.64
BATCH_00117,RenalGuard_623,2022-12-18,2024-03-09,136,7982.7,4345.48
BATCH_00118,OrthoRelief_891,2024-01-21,2025-07-20,96,28090.32,17532.55
BATCH_00119,OrthoRelief_969,2022-04-06,2024-06-16,79,60154.56,42142.2
BATCH_00120,CardioMax_300,2023-05-20,2024-06-24,849,8328.67,5791.74
BATCH_00121,RespiraAid_883,2022-01-19,2023-01-10,69,27646.73,18384.32
BATCH_00122,HepatoCare_883,2023-05-21,2026-04-29,907,54403.06,40556.32
BATCH_00123,ImmunoPlus_43,2022-03-16,2022-09-17,68,33371.82,25986.01
BATCH_00124,RenalGuard_326,2022-02-15,2023-12-31,167,24270.13,17265.29
BATCH_00125,OncoThera_429,2022-04-28,2024-12-01,488,57357.31,47559.74
BATCH_00126,OncoThera_501,2023-01-24,2025-08-25,926,25130.21,16011.15
BATCH_00127,DermaLux_54,2024-07-28,2027-05-28,180,36001.04,25695.62
BATCH_00128,OrthoRelief_672,2023-10-25,2024-10-04,206,15046.98,12853.73
BATCH_00129,CardioMax_849,2023-02-02,2025-02-03,459,5672.36,3891.38
BATCH_00130,NeuroVita_737,2023-07-26,2026-04-04,32,25644.28,14277.41
BATCH_00131,CardioMax_225,2024-01-11,2025-09-04,161,52200.37,28599.97
BATCH_00132,ImmunoPlus_311,2022-01-06,2023-06-13,173,14424.12,8264.99
BATCH_00133,NeuroVita_619,2023-12-29,2025-11-25,80,62383.63,38128.92
BATCH_00134,RenalGuard_455,2022-01-08,2024-04-14,211,27063.12,18511.48
BATCH_00135,HepatoCare_643,2023-07-16,2025-03-14,247,82647.02,48266.25
BATCH_00136,GlucoBalance_544,2024-08-11,2026-12-31,235,46961.79,26019.54
BATCH_00137,DermaLux_473,2023-04-02,2025-11-05,73,53312.6,34802.09
BATCH_00138,GlucoBalance_148,2023-08-14,2025-08-01,29,5744.79,4985.61
BATCH_00139,RenalGuard_846,2024-05-08,2024-11-30,727,42413.06,23200.6
BATCH_00140,HepatoCare_461,2024-06-11,2025-10-24,41,17068.08,11431.65
BATCH_00141,GlucoBalance_695,2024-01-13,2025-02-27,179,48417.23,32847.4
BATCH_00142,DermaLux_479,2022-06-07,2025-05-01,180,17600.12,12667.48
BATCH_00143,GlucoBalance_628,2022-10-21,2023-12-21,214,35123.15,27781.93
BATCH_00144,RespiraAid_46,2024-05-29,2027-02-10,1061,86191.55,48494.11
BATCH_00145,OrthoRelief_826,2022-06-24,2023-10-10,128,37505.19,27078.38
BATCH_00146,NeuroVita_985,2022-04-29,2024-01-05,115,5534.66,4027.71
BATCH_00147,NeuroVita_702,2023-08-22,2026-03-22,112,50770.3,31703.25
BATCH_00148,NeuroVita_478,2022-03-08,2023-01-09,226,9717.49,6106.52
BATCH_00149,OncoThera_688,2023-07-25,2024-11-23,176,4790.51,3522.02
BATCH_00150,OrthoRelief_216,2022-07-18,2025-05-12,44,25400.05,19321.06
BATCH_00151,CardioMax_398,2022-11-03,2024-09-20,248,54513.48,37299.75
BATCH_00152,RenalGuard_133,2023-03-10,2024-03-10,146,22376.22,13829.99
BATCH_00153,RespiraAid_603,2023-10-16,2025-03-28,136,77784.44,47599.23
BATCH_00154,GlucoBalance_940,2022-11-16,2023-06-19,53,17042.58,10203.34
BATCH_00155,ImmunoPlus_483,2024-08-06,2027-04-11,26,30454.77,17383.8
BATCH_00156,OncoThera_809,2022-02-21,2022-09-10,228,61500.37,42694.94
BATCH_00157,OncoThera_78,2022-07-22,2023-08-09,127,11938.64,10108.71
BATCH_00158,CardioMax_444,2023-03-13,2025-11-29,193,44502.95,31506.16
BATCH_00159,GlucoBalance_531,2022-01-14,2023-09-05,49,61207.24,39341.01
BATCH_00160,RespiraAid_867,2022-05-02,2023-10-24,724,14569.58,8623.83
BATCH_00161,DermaLux_124,2024-04-30,2026-06-20,138,12218.34,7477.49
BATCH_00162,ImmunoPlus_179,2023-11-26,2025-02-15,64,6744.98,4133.25
BATCH_00163,OncoThera_919,2022-02-27,2024-01-08,495,68241.33,39985.9
BATCH_00164,OncoThera_900,2023-04-02,2024-07-17,162,42948.2,34235.51
BATCH_00165,OrthoRelief_480,2022-02-14,2024-10-29,484,57516.67,32519.23
BATCH_00166,HepatoCare_614,2023-04-06,2024-01-23,1097,49595.72,42703.77
BATCH_00167,CardioMax_767,2022-05-10,2024-10-26,171,39373.86,31051.78
BATCH_00168,RenalGuard_525,2023-03-02,2025-05-19,112,15138.81,8525.85
BATCH_00169,OrthoRelief_826,2024-01-17,2025-11-21,952,33922.25,20839.11
BATCH_00170,GlucoBalance_464,2022-10-08,2024-02-05,548,24307.25,14867.91
BATCH_00171,ImmunoPlus_715,2024-04-23,2025-10-25,41,23654.55,16004.73
BATCH_00172,OncoThera_862,2024-04-19,2027-01-05,123,6005.85,4705.57
BATCH_00173,CardioMax_938,2024-05-04,2024-11-11,134,18270.78,9996.91
BATCH_00174,HepatoCare_658,2024-05-07,2026-07-01,742,55899.35,42692.02
BATCH_00175,ImmunoPlus_822,2024-07-25,2026-10-26,199,13538.08,10225.11
BATCH_00176,RenalGuard_635,2022-07-26,2023-07-19,314,75342.06,42766.43
BATCH_00177,OncoThera_503,2022-10-16,2023-07-21,101,3208.8,1941.33
BATCH_00178,OrthoRelief_344,2022-12-24,2024-05-09,116,45534.68,25020.98
BATCH_00179,HepatoCare_59,2024-05-27,2025-11-15,140,20524.98,14843.59
BATCH_00180,OncoThera_968,2022-07-02,2023-07-23,102,59626.18,41048.81
BATCH_00181,GlucoBalance_113,2024-01-16,2025-12-06,952,19866.21,16413.05
BATCH_00182,CardioMax_66,2023-05-29,2026-04-17,98,38604.61,25507.18
BATCH_00183,NeuroVita_662,2022-12-14,2024-06-06,1021,20366.38,16465.01
BATCH_00184,DermaLux_588,2022-09-14,2025-03-26,128,83397.03,49801.95
BATCH_00185,DermaLux_236,2023-01-26,2025-09-13,50,61746.44,48022.91
BATCH_00186,HepatoCare_624,2023-10-22,2026-04-12,206,35553.74,19360.9
BATCH_00187,CardioMax_80,2023-10-19,2026-06-16,118,66340.1,41539.94
BATCH_00188,NeuroVita_860,2024-03-29,2025-01-12,175,23116.35,12550.74
BATCH_00189,RenalGuard_857,2024-08-13,2026-02-08,552,74652.99,44905.79
BATCH_00190,CardioMax_750,2022-12-30,2025-02-04,106,29054.63,22736.85
BATCH_00191,ImmunoPlus_873,2023-02-11,2024-12-05,64,5534.36,4664.11
BATCH_00192,NeuroVita_167,2024-08-30,2025-10-13,103,21116.26,18306.56
BATCH_00193,GlucoBalance_844,2023-11-23,2025-07-01,61,32712.7,19084.72
BATCH_00194,HepatoCare_581,2024-07-19,2026-01-07,206,4207.66,3613.18
BATCH_00195,DermaLux_880,2024-06-16,2026-04-21,865,28287.8,18319.35
BATCH_00196,NeuroVita_284,2024-04-10,2025-05-16,413,66658.31,37346.53
BATCH_00197,RespiraAid_551,2023-06-12,2026-03-08,184,12178.08,9468.75
BATCH_00198,HepatoCare_303,2022-12-16,2024-02-16,248,31412.01,17927.67
BATCH_00199,CardioMax_224,2024-01-19,2025-05-15,195,36381.92,24621.68
BATCH_00200,HepatoCare_405,2023-08-13,2024-09-20,83,41997.19,23050.72
BATCH_00201,DermaLux_890,2024-02-14,2024-09-19,372,82736.99,48279.68
BATCH_00202,CardioMax_410,2024-04-01,2024-10-08,678,60566.79,36217.23
BATCH_00203,RenalGuard_318,2022-02-10,2023-08-12,492,2447.29,1569.84
BATCH_00204,HepatoCare_516,2023-06-26,2026-06-03,130,36997.36,21975.31
BATCH_00205,ImmunoPlus_21,2022-11-02,2024-08-07,58,50783.91,30343.3
BATCH_00206,GlucoBalance_677,2022-06-19,2023-11-11,212,66485.75,46816.22
BATCH_00207,RenalGuard_852,2023-04-26,2025-11-06,80,39289.86,29347.36
BATCH_00208,OrthoRelief_908,2024-08-04,2026-03-30,21,49526.82,29828.4
BATCH_00209,RespiraAid_388,2024-06-05,2026-11-27,686,44462.42,32379.65
BATCH_00210,NeuroVita_198,2023-04-01,2025-08-03,122,59249.23,38615.74
BATCH_00211,ImmunoPlus_329,2022-11-03,2024-12-03,156,27559.22,16986.48
BATCH_00212,GlucoBalance_865,2022-11-29,2023-11-26,131,37801.84,20625.46
BATCH_00213,HepatoCare_357,2022-06-20,2023-09-22,49,25414.84,15874.09
BATCH_00214,OrthoRelief_961,2023-01-30,2024-02-10,806,35288.87,22728.48
BATCH_00215,CardioMax_274,2024-07-20,2025-01-31,192,21637.19,11755
BATCH_00216,ImmunoPlus_825,2024-08-08,2025-07-11,137,55219.01,47268.54
BATCH_00217,GlucoBalance_708,2024-04-20,2024-12-15,959,63247.83,40175
BATCH_00218,CardioMax_966,2022-07-29,2025-07-25,47,25535.03,20404.84
BATCH_00219,OrthoRelief_37,2024-06-27,2025-07-01,335,33295.78,27945.89
BATCH_00220,RenalGuard_306,2022-01-20,2023-01-08,150,17753.84,11107.92
BATCH_00221,GlucoBalance_310,2023-01-06,2024-01-09,548,20352.71,15216.81
BATCH_00222,CardioMax_452,2023-09-11,2025-04-08,212,56894.28,44624.58
BATCH_00223,DermaLux_32,2024-02-20,2026-04-01,236,33150.1,19657.99
BATCH_00224,CardioMax_587,2023-12-23,2024-07-01,85,11334.93,6977.55
BATCH_00225,ImmunoPlus_780,2022-04-12,2023-08-31,754,74724.42,47350.29
BATCH_00226,NeuroVita_286,2023-09-02,2025-10-15,154,49153.45,37893.25
BATCH_00227,NeuroVita_860,2022-10-20,2023-09-26,97,4266.5,3588.87
BATCH_00228,DermaLux_424,2022-11-12,2024-12-31,236,56147.25,37915.7
BATCH_00229,OncoThera_291,2023-04-01,2024-11-10,91,28860.83,23490.92
BATCH_00230,OrthoRelief_329,2023-09-29,2024-09-06,117,43260.4,31704.62
BATCH_00231,RespiraAid_639,2023-03-16,2025-06-17,117,16370.64,9582.73
BATCH_00232,GlucoBalance_760,2024-05-15,2027-04-30,147,68091.36,48046.18
BATCH_00233,HepatoCare_794,2024-01-05,2025-06-17,158,40776.43,26135.26
BATCH_00234,HepatoCare_797,2024-08-05,2025-03-14,60,62621.91,42966.61
BATCH_00235,CardioMax_785,2022-06-28,2024-03-20,196,54381.37,32919.97
BATCH_00236,OncoThera_260,2023-11-29,2025-03-26,951,45165.08,28117.23
BATCH_00237,RespiraAid_812,2022-06-02,2024-08-22,240,54763.1,43482.38
BATCH_00238,OrthoRelief_614,2024-02-19,2025-06-06,245,33293.18,28644.35
BATCH_00239,NeuroVita_628,2023-06-16,2026-04-30,153,75185.13,49235.99
BATCH_00240,DermaLux_525,2023-12-19,2024-08-06,198,44549.54,30188.25
BATCH_00241,RenalGuard_414,2024-07-23,2027-01-22,188,19592.88,16231.14
BATCH_00242,GlucoBalance_230,2024-05-29,2026-12-15,638,82529.93,46544.95
BATCH_00243,RenalGuard_499,2023-11-01,2025-02-19,232,5339.16,3534.56
BATCH_00244,OncoThera_720,2022-10-29,2023-10-14,791,17685.13,12183.38
BATCH_00245,OncoThera_665,2022-12-05,2023-07-28,225,9650.08,6901.86
BATCH_00246,NeuroVita_649,2024-05-30,2026-01-25,37,41201.55,29397.65
BATCH_00247,OncoThera_349,2024-05-30,2026-03-05,230,60574.92,33228.49
BATCH_00248,OncoThera_58,2024-08-16,2025-08-04,154,35182.29,20317.43
BATCH_00249,CardioMax_104,2024-07-01,2025-02-18,117,10268.73,5659.28
BATCH_00250,OncoThera_250,2024-05-14,2025-10-17,192,3157.04,1781.87
BATCH_00251,CardioMax_61,2024-03-15,2024-12-29,248,43874.07,37765.99
BATCH_00252,ImmunoPlus_931,2024-04-08,2026-12-31,186,21392.25,13590.61
BATCH_00253,HepatoCare_557,2023-08-10,2024-09-13,40,68694.77,46015.44
BATCH_00254,NeuroVita_321,2023-06-25,2026-02-15,235,17462.65,11564.55
BATCH_00255,GlucoBalance_660,2023-05-16,2025-06-13,47,9732.28,6873.24
BATCH_00256,OncoThera_680,2022-12-11,2025-06-01,686,3557.63,2548.71
BATCH_00257,ImmunoPlus_988,2022-02-02,2023-04-30,984,20814.68,17614.8
BATCH_00258,RespiraAid_924,2022-11-11,2025-08-12,480,34171.86,26966.94
BATCH_00259,RespiraAid_656,2023-10-24,2026-05-28,379,12314.96,6989.01
BATCH_00260,ImmunoPlus_973,2024-06-29,2027-02-26,42,32486.04,22089.55
BATCH_00261,NeuroVita_617,2023-10-10,2025-04-02,215,45697.5,37328.18
BATCH_00262,OrthoRelief_728,2022-04-05,2024-02-11,92,5731.35,4281.1
BATCH_00263,RespiraAid_832,2024-04-16,2026-04-22,101,7075.48,4127.59
BATCH_00264,RespiraAid_300,2022-09-28,2024-08-19,41,27723.55,16632.13
BATCH_00265,NeuroVita_978,2023-08-21,2025-10-14,227,49684.55,41787.1
BATCH_00266,OncoThera_552,2022-09-24,2025-08-31,850,25651.52,15622.93
BATCH_00267,CardioMax_313,2023-10-03,2024-08-02,1062,71609.28,45454.35
BATCH_00268,ImmunoPlus_64,2024-09-17,2026-10-10,189,48099.74,39331.9
BATCH_00269,RespiraAid_767,2024-06-06,2024-12-24,233,53675.79,39300.12
BATCH_00270,HepatoCare_320,2024-07-21,2026-05-30,1034,83890.36,48189.64
BATCH_00271,DermaLux_840,2023-04-19,2025-11-11,67,56571.23,45956.32
BATCH_00272,OncoThera_239,2022-02-28,2023-04-18,181,5591.25,4373.34
BATCH_00273,RespiraAid_460,2022-02-01,2024-11-12,202,14926.04,8248.9
BATCH_00274,ImmunoPlus_197,2023-01-29,2024-03-14,230,21675.27,16548.12
BATCH_00275,OrthoRelief_672,2023-11-12,2024-10-25,115,24549.97,19783.54
BATCH_00276,HepatoCare_628,2022-01-08,2024-07-09,118,16478.76,8987.74
BATCH_00277,RenalGuard_618,2024-06-03,2026-07-30,200,20743.56,12377.4
BATCH_00278,OncoThera_535,2022-12-11,2023-11-17,495,9008.25,7690.74
BATCH_00279,RespiraAid_615,2022-08-23,2023-12-27,192,26670.81,20523.1
BATCH_00280,HepatoCare_571,2023-06-26,2024-01-27,216,5484.24,3192.35
BATCH_00281,GlucoBalance_562,2022-05-21,2023-10-18,894,34314.83,24571.23
BATCH_00282,GlucoBalance_484,2024-04-16,2025-04-08,698,71879.66,39631.25
BATCH_00283,DermaLux_22,2023-07-18,2026-06-16,684,47178.36,30686.85
BATCH_00284,ImmunoPlus_137,2023-10-11,2024-12-24,326,17757.67,15085.88
BATCH_00285,OncoThera_679,2023-05-16,2025-11-17,221,52442.19,35334.55
BATCH_00286,NeuroVita_790,2022-09-21,2025-07-22,81,28360.12,16403.33
BATCH_00287,NeuroVita_759,2024-02-03,2024-12-19,143,21242.3,14989.23
BATCH_00288,RenalGuard_946,2024-02-20,2025-07-18,1119,46137.19,36526.04
BATCH_00289,ImmunoPlus_590,2023-08-27,2024-03-08,221,31223.51,21755.61
BATCH_00290,NeuroVita_803,2022-01-14,2022-07-25,168,34830.41,19840.7
BATCH_00291,HepatoCare_25,2024-08-18,2025-03-12,529,20023.87,14791.67
BATCH_00292,OrthoRelief_106,2022-08-04,2024-03-23,44,63513.89,34947.5
BATCH_00293,NeuroVita_122,2024-08-14,2026-07-27,123,40904.45,26235.71
BATCH_00294,OncoThera_158,2022-07-18,2023-04-13,161,56299.34,43265.72
BATCH_00295,RespiraAid_615,2024-08-12,2026-01-18,577,37666.14,30825.86
BATCH_00296,DermaLux_984,2022-12-27,2023-08-14,115,4172.1,2435.03
BATCH_00297,OrthoRelief_762,2023-09-03,2024-12-12,90,57408.6,45553.18
BATCH_00298,RespiraAid_706,2024-08-11,2026-10-10,66,26635.4,19316.06
BATCH_00299,ImmunoPlus_741,2022-07-01,2023-11-17,112,52088.46,41703.47
BATCH_00300,RenalGuard_934,2023-09-25,2024-07-07,85,49195.88,34280.56
BATCH_00301,GlucoBalance_260,2024-05-23,2027-05-13,123,5882.87,4563.48
BATCH_00302,CardioMax_531,2023-12-16,2026-05-16,873,36422.55,23949.72
BATCH_00303,GlucoBalance_627,2023-07-20,2024-10-23,72,65812.97,42000.69
BATCH_00304,OrthoRelief_462,2022-03-09,2023-08-25,444,63107.03,39076.71
BATCH_00305,OncoThera_894,2022-02-17,2025-01-21,119,68248.15,41714.86
BATCH_00306,RenalGuard_472,2023-10-05,2026-01-24,238,19977.35,16500.23
BATCH_00307,CardioMax_778,2022-05-06,2023-12-30,86,47171.7,28145.28
BATCH_00308,HepatoCare_606,2022-11-30,2023-11-10,123,9871.17,8543.8
BATCH_00309,NeuroVita_686,2022-04-06,2023-10-14,1034,28460.16,22721.82
BATCH_00310,OncoThera_822,2024-07-09,2026-10-22,72,44004.34,34757.78
BATCH_00311,HepatoCare_924,2023-08-11,2026-04-05,47,58492.27,48524.86
BATCH_00312,GlucoBalance_632,2023-01-29,2023-09-13,45,18469.3,15162.16
BATCH_00313,OrthoRelief_64,2023-06-26,2024-10-22,183,50906.96,39217.19
BATCH_00314,OncoThera_891,2022-10-16,2024-06-22,224,24601.51,13326.21
BATCH_00315,ImmunoPlus_578,2022-04-07,2024-05-20,193,38423.06,22185.37
BATCH_00316,OncoThera_318,2024-07-26,2025-02-03,114,85079.96,49630.82
BATCH_00317,DermaLux_784,2024-01-13,2026-01-05,56,45162.74,25840.07
BATCH_00318,HepatoCare_430,2023-11-22,2024-05-26,28,49922.59,35845.95
BATCH_00319,OncoThera_696,2024-02-10,2025-11-02,53,74447.92,49107.41
BATCH_00320,RespiraAid_603,2023-06-02,2026-01-10,105,4483.89,3591.08
BATCH_00321,RenalGuard_725,2022-10-08,2025-09-11,27,71426.17,43939.59
BATCH_00322,OncoThera_445,2023-12-19,2026-06-26,53,77972.54,44926.68
